gene_name	sample_index	chr	pathogenic_flag
CR1	1	1	0
PLXNA2	1	1	0
CAMK1G	1	1	0
KCNK2	1	1	0
RRP15	1	1	0
HHIPL2	1	1	0
BROX	1	1	0
LEFTY2	1	1	0
H3F3A	1	1	0
MIXL1	1	1	0
ADCK3	1	1	0
CDC42BPA	1	1	0
JMJD4	1	1	0
TRIM17	1	1	0
HIST3H2BB	1	1	0
COG2	1	1	0
TSNAX-DISC1	1	1	0
FMN2	1	1	0
CNST	1	1	0
OR6F1	1	1	0
OR2W3	1	1	0
OR2T4	1	1	0
OR2T6	1	1	0
OR14I1	1	1	0
ZNF692	1	1	0
SOX11	1	2	0
ID2	1	2	0
CPSF3	1	2	0
C2orf48	1	2	0
NOL10	1	2	0
MSGN1	1	2	0
WDR35	1	2	0
HS1BP3	1	2	0
NCOA1	1	2	0
ASXL2	1	2	0
RAB10	1	2	0
OTOF	1	2	0
KHK	1	2	0
CGREF1	1	2	0
MPV17	1	2	0
GTF3C2	1	2	0
SNX17	1	2	0
CLIP4	1	2	0
YPEL5	1	2	0
LBH	1	2	0
SPAST	1	2	0
CYP1B1	1	2	1
SOS1	1	2	0
MTA3	1	2	0
PPM1B	1	2	0
RHOQ	1	2	0
FOXN2	1	2	0
PPP1R21	1	2	0
CCDC85A	1	2	0
LGALSL	1	2	0
PLEK	1	2	0
GMCL1	1	2	0
SNRPG	1	2	0
NAGK	1	2	0
MCEE	1	2	0
NOTO	1	2	0
PRADC1	1	2	0
EGR4	1	2	0
DGUOK	1	2	1
MTHFD2	1	2	0
MOGS	1	2	0
CCDC142	1	2	0
DOK1	1	2	0
HK2	1	2	0
REG3A	1	2	0
TRABD2A	1	2	0
GGCX	1	2	0
SFTPB	1	2	0
FABP1	1	2	0
THNSL2	1	2	0
ZNF2	1	2	0
GPAT2	1	2	0
DUSP2	1	2	0
STARD7	1	2	0
ARID5A	1	2	0
ANKRD23	1	2	0
UNC50	1	2	0
SLC9A2	1	2	0
SULT1C2	1	2	0
GCC2	1	2	0
RANBP2	1	2	0
BUB1	1	2	0
INSIG2	1	2	0
CFC1	1	2	1
ARHGEF4	1	2	0
LYPD1	1	2	0
UBXN4	1	2	0
KCNJ3	1	2	0
RBMS1	1	2	0
DPP4	1	2	0
CSRNP3	1	2	0
NOSTRIN	1	2	0
DHRS9	1	2	0
CCDC173	1	2	0
PHOSPHO2	1	2	0
DLX1	1	2	0
PDK1	1	2	0
EVX2	1	2	0
MTX2	1	2	0
HNRNPA3	1	2	0
NFE2L2	1	2	0
ITGA4	1	2	0
NEUROD1	1	2	1
ZNF804A	1	2	0
COL5A2	1	2	0
ASNSD1	1	2	0
STK17B	1	2	0
HSPD1	1	2	0
AOX1	1	2	0
BZW1	1	2	0
TMEM237	1	2	0
NBEAL1	1	2	0
CD28	1	2	0
CRYGA	1	2	0
IDH1	1	2	0
PIKFYVE	1	2	0
SMARCAL1	1	2	0
IGFBP2	1	2	0
DIRC3	1	2	0
GLB1L	1	2	0
RESP18	1	2	0
SLC4A3	1	2	0
MOGAT1	1	2	0
MRPL44	1	2	0
NYAP2	1	2	0
DNER	1	2	0
SP100	1	2	0
PSMD1	1	2	0
COPS7B	1	2	0
USP40	1	2	0
COL6A3	1	2	0
RAB17	1	2	0
FAM132B	1	2	0
ANO7	1	2	0
CHL1	1	3	0
ARL8B	1	3	0
SRGAP3	1	3	0
ARPC4-TTLL3	1	3	0
BRK1	1	3	0
IRAK2	1	3	0
CHCHD4	1	3	0
METTL6	1	3	0
OXNAD1	1	3	0
RARB	1	3	0
LINC00692	1	3	0
CMTM8	1	3	0
DLEC1	1	3	0
RPSA	1	3	0
MOBP	1	3	0
CCK	1	3	0
ZBTB47	1	3	0
KLHL40	1	3	0
TMEM42	1	3	0
SACM1L	1	3	0
CXCR6	1	3	0
CDC25A	1	3	0
GMPPB	1	3	0
UBA7	1	3	0
GNAT1	1	3	0
NAT6	1	3	0
TMEM115	1	3	0
IQCF5	1	3	0
GNL3	1	3	0
LRTM1	1	3	0
ASB14	1	3	0
FAM107A	1	3	0
ADAMTS9	1	3	0
SUCLG2	1	3	0
ROBO2	1	3	0
CHMP2B	1	3	0
CPOX	1	3	0
DCBLD2	1	3	0
TOMM70A	1	3	0
IMPG2	1	3	0
IFT57	1	3	0
KIAA1524	1	3	0
DPPA4	1	3	0
CD96	1	3	0
CD200R1L	1	3	0
B4GALT4	1	3	0
NR1I2	1	3	0
GPR156	1	3	0
SLC15A2	1	3	0
CCDC58	1	3	0
PARP14	1	3	0
HSPBAP1	1	3	0
KALRN	1	3	0
TXNRD3	1	3	0
GP9	1	3	0
IFT122	1	3	0
TMEM108	1	3	0
SRPRB	1	3	0
CLDN18	1	3	0
DZIP1L	1	3	0
DBR1	1	3	0
CEP70	1	3	0
TFDP2	1	3	0
GK5	1	3	0
P2RY1	1	3	0
RAP2B	1	3	0
MLF1	1	3	0
RARRES1	1	3	0
ZBBX	1	3	0
SEC62	1	3	0
DCUN1D1	1	3	0
KLHL6	1	3	0
EHHADH	1	3	0
IGF2BP2	1	3	0
CRYGS	1	3	0
TBCCD1	1	3	0
KNG1	1	3	0
EIF4A2	1	3	0
SST	1	3	0
BCL6	1	3	0
LPP	1	3	0
TPRG1	1	3	0
HRASLS	1	3	0
ATP13A5	1	3	0
SLC51A	1	3	0
CEP19	1	3	0
ZNF732	1	4	0
MFSD7	1	4	0
TACC3	1	4	0
LETM1	1	4	0
HAUS3	1	4	0
LINC00955	1	4	0
TMEM128	1	4	0
LYAR	1	4	0
GRPEL1	1	4	0
AFAP1	1	4	0
GPR78	1	4	0
USP17L10	1	4	0
USP17L13	1	4	0
CC2D2A	1	4	0
LCORL	1	4	0
TBC1D19	1	4	0
TLR6	1	4	0
RBM47	1	4	0
BEND4	1	4	0
GABRG1	1	4	0
ATP10D	1	4	0
CLOCK	1	4	0
PDCL2	1	4	0
AASDH	1	4	0
NOA1	1	4	0
TMPRSS11F	1	4	0
TMPRSS11B	1	4	0
UGT2B17	1	4	0
UGT2B7	1	4	0
SULT1E1	1	4	0
HTN3	1	4	0
GRSF1	1	4	0
DCK	1	4	0
ANKRD17	1	4	0
ALB	1	4	0
RASSF6	1	4	0
PF4	1	4	0
PPBP	1	4	0
EREG	1	4	0
PARM1	1	4	0
RCHY1	1	4	0
CXCL10	1	4	0
FAM47E	1	4	0
CCNI	1	4	0
THAP9	1	4	0
COQ2	1	4	0
HERC3	1	4	0
GRID2	1	4	0
PDHA2	1	4	0
ADH1B	1	4	0
CENPE	1	4	0
TET2	1	4	0
SGMS2	1	4	0
RRH	1	4	0
EGF	1	4	0
C4orf32	1	4	0
AP1AR	1	4	0
TMEM155	1	4	0
IL21	1	4	0
SPATA5	1	4	0
SPRY1	1	4	0
PGRMC2	1	4	0
JADE1	1	4	0
PABPC4L	1	4	0
MGST2	1	4	0
CLGN	1	4	0
EDNRA	1	4	0
KIAA0922	1	4	0
PLRG1	1	4	0
LRAT	1	4	0
GLRB	1	4	0
TMEM144	1	4	0
C4orf46	1	4	0
ETFDH	1	4	1
FSTL5	1	4	0
TKTL2	1	4	0
FAM218A	1	4	0
TRIM60	1	4	0
MSMO1	1	4	0
ING2	1	4	0
CYP4V2	1	4	0
ZFP42	1	4	0
LRRC14B	1	5	0
SLC6A19	1	5	0
SLC6A18	1	5	0
NDUFS6	1	5	0
IRX2	1	5	0
SRD5A1	1	5	0
ADCY2	1	5	0
C5orf49	1	5	0
TAS2R1	1	5	0
FAM173B	1	5	0
CMBL	1	5	0
ANKRD33B	1	5	0
DNAH5	1	5	0
TRIO	1	5	0
CDH18	1	5	0
ADAMTS12	1	5	0
RAI14	1	5	0
PRLR	1	5	0
UGT3A2	1	5	0
SEPP1	1	5	0
NDUFS4	1	5	0
SNX18	1	5	0
MCIDAS	1	5	0
CCNO	1	5	0
ERCC8	1	5	1
CWC27	1	5	0
CENPK	1	5	0
ERBB2IP	1	5	0
CCNB1	1	5	0
MRPS36	1	5	0
FCHO2	1	5	0
FOXD1	1	5	0
HEXB	1	5	0
HMGCR	1	5	0
COL4A3BP	1	5	0
ZBED3	1	5	0
HOMER1	1	5	0
RASGRF2	1	5	0
ATG10	1	5	0
RHOBTB3	1	5	0
ST8SIA4	1	5	0
SLCO4C1	1	5	0
MAN2A1	1	5	0
NREP	1	5	0
FEM1C	1	5	0
ARL14EPL	1	5	0
FAM170A	1	5	0
SRFBP1	1	5	0
ZNF474	1	5	0
IL5	1	5	0
TCF7	1	5	0
CDKL3	1	5	0
JADE2	1	5	0
SAR1B	1	5	0
SLC25A48	1	5	0
LECT2	1	5	0
SMAD5	1	5	0
SLC23A1	1	5	0
PFDN1	1	5	0
PCDHA2	1	5	0
PCDHGA10	1	5	0
PCDHGA12	1	5	0
SPINK6	1	5	0
FBXO38	1	5	0
ARHGEF37	1	5	0
MYOZ3	1	5	0
MFAP3	1	5	0
THG1L	1	5	0
ATP10B	1	5	0
GABRA6	1	5	0
MAT2B	1	5	0
FAM196B	1	5	0
RPL26L1	1	5	0
GPRIN1	1	5	0
COL23A1	1	5	0
ZNF354A	1	5	0
RNF130	1	5	0
TRIM52	1	5	0
GMDS	1	6	0
EEF1E1-BLOC1S5	1	6	0
TMEM14C	1	6	0
NOL7	1	6	0
RANBP9	1	6	0
RNF182	1	6	0
ATXN1	1	6	0
NUP153	1	6	0
SOX4	1	6	0
SCGN	1	6	0
SLC17A1	1	6	0
TRIM38	1	6	0
HIST1H3A	1	6	0
HIST1H3E	1	6	0
HIST1H1D	1	6	0
HIST1H4H	1	6	0
ABT1	1	6	0
HIST1H2AG	1	6	0
HIST1H2AJ	1	6	0
ZSCAN23	1	6	0
OR2J2	1	6	0
OR12D3	1	6	0
OR2H1	1	6	0
HLA-A	1	6	0
ZNRD1	1	6	0
PPP1R11	1	6	0
RNF39	1	6	0
TRIM31	1	6	0
HLA-E	1	6	0
FLOT1	1	6	0
MICB	1	6	0
C6orf47	1	6	0
GPANK1	1	6	0
CLIC1	1	6	0
HSPA1A	1	6	0
TNXB	1	6	0
AGER	1	6	0
C6orf10	1	6	0
HLA-DQA1	1	6	0
HLA-DQB1	1	6	0
HLA-DQA2	1	6	0
HLA-DOB	1	6	0
RGL2	1	6	0
ZBTB9	1	6	0
PACSIN1	1	6	0
SCUBE3	1	6	0
PPARD	1	6	0
TULP1	1	6	0
SLC26A8	1	6	0
MAPK13	1	6	0
KCTD20	1	6	0
CDKN1A	1	6	0
PPIL1	1	6	0
C6orf89	1	6	0
RNF8	1	6	0
KCNK17	1	6	0
NFYA	1	6	0
TREM2	1	6	0
TREML2	1	6	0
TREML4	1	6	0
USP49	1	6	0
TAF8	1	6	0
MRPS10	1	6	0
RPL7L1	1	6	0
MEA1	1	6	0
MRPL14	1	6	0
SLC35B2	1	6	0
CLIC5	1	6	0
PTCHD4	1	6	0
GLYATL3	1	6	0
C6orf141	1	6	0
DEFB113	1	6	0
DEFB110	1	6	0
FBXO9	1	6	0
HCRTR2	1	6	0
MB21D1	1	6	0
EEF1A1	1	6	0
HTR1B	1	6	0
LCA5	1	6	0
GJB7	1	6	0
MDN1	1	6	0
HACE1	1	6	0
AIM1	1	6	0
MICAL1	1	6	0
HDAC2	1	6	0
TSPYL1	1	6	0
ZUFSP	1	6	0
FAM184A	1	6	0
TAAR8	1	6	0
TNFAIP3	1	6	0
NMBR	1	6	0
SYNE1	1	6	1
TIAM2	1	6	0
ZDHHC14	1	6	0
TCP1	1	6	0
MRPL18	1	6	0
IGF2R	1	6	0
C6orf118	1	6	0
MLLT4	1	6	0
KIF25	1	6	0
INTS1	1	7	0
TMEM184A	1	7	0
LFNG	1	7	0
RBAK-RBAKDN	1	7	0
FBXL18	1	7	0
PMS2	1	7	0
ISPD	1	7	0
ANKMY2	1	7	0
KLHL7	1	7	0
IGF2BP3	1	7	0
TRA2A	1	7	0
CCDC126	1	7	0
HOXA4	1	7	0
PLEKHA8	1	7	0
KBTBD2	1	7	0
NPSR1	1	7	0
EEPD1	1	7	0
AOAH	1	7	0
CDK13	1	7	0
POLM	1	7	0
POLD2	1	7	0
H2AFV	1	7	0
UPP1	1	7	0
DDC	1	7	0
LANCL2	1	7	0
MRPS17	1	7	0
SUMF2	1	7	0
TMEM248	1	7	0
SBDS	1	7	0
NSUN5	1	7	0
TRIM50	1	7	0
FKBP6	1	7	0
DNAJC30	1	7	0
WBSCR22	1	7	0
ABHD11	1	7	0
ELN	1	7	0
HSPB1	1	7	1
GNAI1	1	7	0
SEMA3E	1	7	0
CROT	1	7	0
ABCB1	1	7	0
RUNDC3B	1	7	0
STEAP4	1	7	0
PEX1	1	7	0
RBM48	1	7	0
PON2	1	7	0
ASB4	1	7	0
BHLHA15	1	7	0
NPTX2	1	7	0
CPSF4	1	7	0
ZSCAN25	1	7	0
AZGP1	1	7	0
ZNF3	1	7	0
PPP1R35	1	7	0
GNB2	1	7	0
EPO	1	7	0
EPHB4	1	7	0
RASA4B	1	7	0
FAM185A	1	7	0
ORC5	1	7	0
SRPK2	1	7	0
COG5	1	7	0
SLC26A3	1	7	0
IMMP2L	1	7	0
SLC13A1	1	7	0
WASL	1	7	0
GPR37	1	7	0
POT1	1	7	0
LEP	1	7	0
IMPDH1	1	7	0
IRF5	1	7	0
CPA4	1	7	0
PODXL	1	7	0
CHCHD3	1	7	0
SLC35B4	1	7	0
STRA8	1	7	0
SLC13A4	1	7	0
CLEC5A	1	7	0
OR2F1	1	7	0
NOBOX	1	7	0
EZH2	1	7	0
ZNF398	1	7	0
ZNF783	1	7	0
ZNF467	1	7	0
NOS3	1	7	0
GALNT11	1	7	0
HTR5A-AS1	1	7	0
MYOM2	1	8	0
CSMD1	1	8	0
DEFA1B	1	8	0
DEFB106A	1	8	0
DEFB105A	1	8	0
FAM167A	1	8	0
FDFT1	1	8	0
DEFB135	1	8	0
KIAA1456	1	8	0
SLC18A1	1	8	0
DMTN	1	8	0
NUDT18	1	8	0
POLR3D	1	8	0
TNFRSF10D	1	8	0
R3HCC1	1	8	0
NKX2-6	1	8	0
BNIP3L	1	8	0
STMN4	1	8	0
EXTL3	1	8	0
SMIM18	1	8	0
LETM2	1	8	0
FGFR1	1	8	0
ADAM18	1	8	0
ZMAT4	1	8	0
VDAC3	1	8	0
SNTG1	1	8	0
NPBWR1	1	8	0
RRS1	1	8	0
MCMDC2	1	8	0
ARFGEF1	1	8	0
STAU2	1	8	0
CRISPLD1	1	8	0
PEX2	1	8	0
PKIA	1	8	0
FABP4	1	8	0
ZFAND1	1	8	0
SLC26A7	1	8	0
C8orf87	1	8	0
ESRP1	1	8	0
SPAG1	1	8	0
NOV	1	8	0
TBC1D31	1	8	0
KCNQ3	1	8	0
TG	1	8	0
TRAPPC9	1	8	0
GPR20	1	8	0
LY6D	1	8	0
CYP11B2	1	8	0
GLI4	1	8	0
TOP1MT	1	8	0
CYC1	1	8	0
SHARPIN	1	8	0
MAF1	1	8	0
COMMD5	1	8	0
ZNF250	1	8	0
CBWD1	1	9	0
AK3	1	9	0
PLGRKT	1	9	0
MLANA	1	9	0
CER1	1	9	0
FOCAD	1	9	0
IFNA2	1	9	0
DMRTA1	1	9	0
IFT74	1	9	0
C9orf72	1	9	0
TOPORS	1	9	0
PRSS3	1	9	0
FAM214B	1	9	0
FAM166B	1	9	0
TLN1	1	9	0
GBA2	1	9	0
CCIN	1	9	0
GNE	1	9	0
SLC25A51	1	9	0
ZNF658	1	9	0
PRKACG	1	9	0
PTAR1	1	9	0
ANXA1	1	9	0
RFK	1	9	0
GNA14	1	9	0
GNAQ	1	9	0
TLE1	1	9	0
GKAP1	1	9	0
RMI1	1	9	0
CTSL	1	9	0
GADD45G	1	9	0
NFIL3	1	9	0
IARS	1	9	0
CENPP	1	9	0
C9orf3	1	9	0
ZNF782	1	9	0
CCDC180	1	9	0
TRIM14	1	9	0
TEX10	1	9	0
OR13F1	1	9	0
RAD23B	1	9	0
FAM206A	1	9	0
CTNNAL1	1	9	0
FRRS1L	1	9	0
SVEP1	1	9	0
DNAJC25	1	9	0
SLC31A1	1	9	0
CDC26	1	9	0
CNTRL	1	9	0
LHX6	1	9	0
OR1N2	1	9	0
OR5C1	1	9	0
LHX2	1	9	0
RPL35	1	9	0
GARNL3	1	9	0
SLC2A8	1	9	0
STXBP1	1	9	0
PIP5KL1	1	9	0
ZDHHC12	1	9	0
TBC1D13	1	9	0
DOLPP1	1	9	0
C9orf50	1	9	0
ASS1	1	9	1
PRDM12	1	9	0
GTF3C4	1	9	0
C9orf9	1	9	0
RPL7A	1	9	0
REXO4	1	9	0
WDR5	1	9	0
FCN2	1	9	0
LHX3	1	9	0
QSOX2	1	9	0
C9orf163	1	9	0
C8G	1	9	0
ENTPD2	1	9	0
UAP1L1	1	9	0
TMEM203	1	9	0
RNF208	1	9	0
TUBB4B	1	9	0
ENTPD8	1	9	0
PNPLA7	1	9	0
DPH7	1	9	0
IDI2	1	10	0
WDR37	1	10	0
PITRM1	1	10	0
TUBAL3	1	10	0
PFKFB3	1	10	0
USP6NL	1	10	0
FAM107B	1	10	0
SUV39H2	1	10	0
SLC39A12	1	10	0
CACNB2	1	10	0
NEBL	1	10	0
PRTFDC1	1	10	0
MYO3A	1	10	0
ANKRD26	1	10	1
PTCHD3	1	10	0
BAMBI	1	10	0
KIAA1462	1	10	0
CCNY	1	10	0
ZNF22	1	10	0
ALOX5	1	10	0
LRRC18	1	10	0
BICC1	1	10	0
FAM13C	1	10	0
RTKN2	1	10	0
ZNF365	1	10	0
NRBF2	1	10	0
MYPN	1	10	0
H2AFY2	1	10	0
UNC5B	1	10	0
CDH23	1	10	0
ASCC1	1	10	0
ANAPC16	1	10	0
CAMK2G	1	10	0
KAT6B	1	10	0
POLR3A	1	10	1
DYDC2	1	10	0
NUTM2A	1	10	0
LIPA	1	10	0
IFIT1B	1	10	0
SLC16A12	1	10	0
KIF20B	1	10	0
RPP30	1	10	0
SLC35G1	1	10	0
CYP2C18	1	10	0
CYP2C8	1	10	0
LCOR	1	10	0
ZDHHC16	1	10	0
GOLGA7B	1	10	0
R3HCC1L	1	10	0
CPN1	1	10	0
LZTS2	1	10	0
FBXW4	1	10	0
CYP17A1	1	10	0
AS3MT	1	10	0
CALHM1	1	10	0
COL17A1	1	10	0
GSTO1	1	10	0
ITPRIP	1	10	0
SMNDC1	1	10	0
TECTB	1	10	0
PLEKHS1	1	10	0
HSPA12A	1	10	0
PDZD8	1	10	0
EMX2	1	10	0
SFXN4	1	10	0
FGFR2	1	10	1
LHPP	1	10	0
FAM53B	1	10	0
TEX36	1	10	0
C10orf90	1	10	0
NKX6-2	1	10	0
CYP2E1	1	10	0
PSMD13	1	11	0
LRRC56	1	11	0
PHRF1	1	11	0
SCT	1	11	0
CD81	1	11	0
TSSC4	1	11	0
SLC22A18AS	1	11	0
OSBPL5	1	11	0
ART5	1	11	0
ART1	1	11	0
PGAP2	1	11	0
C11orf40	1	11	0
OR51L1	1	11	0
OR51V1	1	11	0
OR52H1	1	11	0
TRIM34	1	11	0
SMPD1	1	11	0
APBB1	1	11	0
TRIM3	1	11	0
DNHD1	1	11	0
TAF10	1	11	0
OR10A5	1	11	0
OLFML1	1	11	0
STK33	1	11	0
SWAP70	1	11	0
SBF2	1	11	0
PTH	1	11	0
CYP2R1	1	11	0
INSC	1	11	0
SERGEF	1	11	0
SAA4	1	11	0
SAA2	1	11	0
HPS5	1	11	0
UEVLD	1	11	0
MRGPRX1	1	11	0
ANO3	1	11	0
CCDC34	1	11	0
DCDC1	1	11	0
KIAA1549L	1	11	0
FBXO3	1	11	0
PDHX	1	11	0
TSPAN18	1	11	0
GYLTL1B	1	11	0
ZNF408	1	11	0
OR4X2	1	11	0
TRIM48	1	11	0
OR4A16	1	11	0
OR5R1	1	11	0
OR5M3	1	11	0
OR5M1	1	11	0
YPEL4	1	11	0
TMX2-CTNND1	1	11	0
OR5B17	1	11	0
OR5B12	1	11	0
OR10V1	1	11	0
STX3	1	11	0
TCN1	1	11	0
MS4A7	1	11	0
PTGDR2	1	11	0
TMEM138	1	11	0
TMEM216	1	11	0
LRRC10B	1	11	0
SYT7	1	11	0
FTH1	1	11	1
SCGB2A1	1	11	0
SLC3A2	1	11	0
SLC22A24	1	11	0
NAA40	1	11	0
PPP1R14B	1	11	0
TRMT112	1	11	0
TMEM262	1	11	0
SPDYC	1	11	0
CAPN1	1	11	0
TIGD3	1	11	0
FAM89B	1	11	0
PCNXL3	1	11	0
KAT5	1	11	0
AP5B1	1	11	0
CFL1	1	11	0
DRAP1	1	11	0
CST6	1	11	0
SLC29A2	1	11	0
DPP3	1	11	0
C11orf80	1	11	0
C11orf72	1	11	0
PPP6R3	1	11	0
MRGPRD	1	11	0
MYEOV	1	11	0
FADD	1	11	0
KRTAP5-7	1	11	0
IL18BP	1	11	0
P2RY6	1	11	0
DNAJB13	1	11	0
GDPD5	1	11	0
SERPINH1	1	11	0
AQP11	1	11	0
NDUFC2	1	11	0
CCDC67	1	11	0
SMCO4	1	11	0
HEPHL1	1	11	0
KDM4E	1	11	0
GUCY1A2	1	11	0
SLN	1	11	0
SLC35F2	1	11	0
LAYN	1	11	0
CRYAB	1	11	0
SDHD	1	11	0
APOA4	1	11	0
TAGLN	1	11	0
PCSK7	1	11	0
FXYD6-FXYD2	1	11	0
TMPRSS13	1	11	0
ARCN1	1	11	0
BCL9L	1	11	0
NLRX1	1	11	0
GRIK4	1	11	0
SORL1	1	11	0
OR6X1	1	11	0
OR10S1	1	11	0
ACRV1	1	11	0
PATE2	1	11	0
BARX2	1	11	0
GLB1L2	1	11	0
B3GAT1	1	11	0
ERC1	1	12	0
TSPAN9	1	12	0
GALNT8	1	12	0
ANO2	1	12	0
TAPBPL	1	12	0
COPS7A	1	12	0
C1RL	1	12	0
RBP5	1	12	0
CLEC4C	1	12	0
SLC2A3	1	12	0
PZP	1	12	0
CLECL1	1	12	0
CLEC9A	1	12	0
YBX3	1	12	0
TAS2R42	1	12	0
PRB4	1	12	0
PRB2	1	12	0
BCL2L14	1	12	0
GPR19	1	12	0
HEBP1	1	12	0
EMP1	1	12	0
ATF7IP	1	12	0
GUCY2C	1	12	0
HIST4H4	1	12	0
MGP	1	12	0
ARHGDIB	1	12	0
MGST1	1	12	0
LMO3	1	12	0
PLCZ1	1	12	0
IAPP	1	12	0
CMAS	1	12	0
ETNK1	1	12	0
C12orf77	1	12	0
ERGIC2	1	12	0
TMTC1	1	12	0
DDX11	1	12	0
CNTN1	1	12	0
SLC48A1	1	12	0
VDR	1	12	0
OR10AD1	1	12	0
ANP32D	1	12	0
LINC00935	1	12	0
CACNB3	1	12	0
WNT10B	1	12	0
DDN	1	12	0
PRKAG1	1	12	0
C1QL4	1	12	0
KCNH3	1	12	0
AQP5	1	12	0
GPD1	1	12	0
KRT75	1	12	0
KRT6A	1	12	0
KRT77	1	12	0
AAAS	1	12	1
SP1	1	12	0
HOXC10	1	12	0
MUCL1	1	12	0
NEUROD4	1	12	0
OR6C74	1	12	0
BLOC1S1	1	12	0
RNF41	1	12	0
MIP	1	12	0
NACA	1	12	0
MYO1A	1	12	0
MARS	1	12	0
METTL1	1	12	0
TSFM	1	12	0
DPY19L2	1	12	0
MDM1	1	12	0
ZFC3H1	1	12	0
TPH2	1	12	0
PPFIA2	1	12	0
TMTC3	1	12	0
KITLG	1	12	0
NTN4	1	12	0
TDG	1	12	0
CKAP4	1	12	0
UBE3B	1	12	0
