gene_name	chr	tss	tse	gene_type	pLI	familyMemberCount	ncRVIS	ncGERP	RVIS_percentile	slr_dnds	GDI	gene_age
OAS2	12	113416273	113426610	protein_coding	4.90991609085664E-12	1	-0.4064206291	-0.868485294	7.1950931824	0.5189	31.80189	4
HFE	6	26087508	26095469	protein_coding	2.25586230540966E-05	59	0.2101716562	-0.621349904	60.3149327672	0.3189	796.87118	2
TRPC4	13	38210772	38443939	protein_coding	0.9838770589	6	-0.355831669	1.348284845	5.9742863883	0.0344	36.07747	0
TXNDC9	2	99935486	99952860	protein_coding	0.5639052664	0	-0.6427885376	0.443181489	84.8136352913	0.2144	221.99485	0
EIF1	17	39845126	39847898	protein_coding	0.7451327277	1	-0.2152192249	1.233108316	62.3849964614	0.2218	294.36299	0
MPHOSPH10	2	71357443	71377232	protein_coding	0.7864496959	0	0.5112000023	-0.715929928	97.1986317528	0.2787	9091.34729	0
ADAMTS8	11	130274817	130298539	protein_coding	3.74876179276618E-09	10	-0.5300413473	0.429348705	84.7369662656	0.06764	4169.48922	0
USPL1	13	31191829	31233686	protein_coding	0.3329065351	0	-0.6039962771	0.965913649	78.0549657938	0.4337	2982.03517	1
PRMT3	11	20409075	20530879	protein_coding	0.0475577315	0	0.7707921049	-0.585884735	28.0136824723	0.1637	700.70181	0
TIMM44	19	7991602	8008708	protein_coding	0.700486854	0	-0.0265238063	-0.981117803	60.6451993395	0.08718	250.25034	0
RNF41	12	56596287	56615485	protein_coding	0.8184104126	0	-0.4646284573	1.048913774	41.6430761972	0	26.86984	0
ATP6V0C	16	2563870	2570224	protein_coding	0.7114303999	0	-0.1086055735	0.530360126	42.875678226	0.05688	198.58178	0
CTBP2	10	126676417	126716453	protein_coding	0.8286898621	0	-0.4543418221	1.319321891	74.9587166785	0.1413	17634.38171	0
SLC26A11	17	78194199	78227308	protein_coding	1.28007141108934E-09	0	1.3480456316	-1.193488754	55.8445388063	0.1107	810.57173	0
CHAT	10	50822082	50873150	protein_coding	0.1575294588	5	0.5577984427	-0.839392842	96.0544939844	0.1461	2403.82842	0
SATB2	2	200134222	200322819	protein_coding	0.9991853758	1	-1.1697661733	2.997992446	10.6510969568	0.01912	18.7762	0
SLC6A2	16	55705582	55737700	protein_coding	0.1751979902	15	-0.0574990846	-0.286056906	24.46331682	0.05099	192.60631	0
ZNF513	2	27600097	27603311	protein_coding	0.9176608942	0	-0.1086055735	1.982901713	24.5340882284	0.1656	153.34627	0
TEX14	17	56634037	56769416	protein_coding	7.00081758321253E-19	0	-0.394581006	0.121544277	10.5980184006	0.4929	357.41532	2
C7orf76	7	96110937	96132835	protein_coding	0.0475577315	0	0.64260271	-0.105402799	87.3024298184	0.1443	10.2338	0
DNPH1	6	43193366	43197211	protein_coding	0.0041301753	0	-0.1086055735	-0.017506499	50.0117952347	0.1443	8.3349	0
ZBTB44	11	130096573	130184607	protein_coding	0.9883605373	2	-0.5212256457	1.142677632	24.1920264213	0.06759	198.58178	0
ARMC8	3	137906089	137965729	protein_coding	0.9996836146	0	-0.6789490884	2.196285024	35.7454588346	0.02313	39.0134	0
ZC3H7A	16	11844441	11891114	protein_coding	0.9999578707	1	0.0315965947	1.947313538	27.0287803727	0.08478	720.54271	0
WDR91	7	134868589	134896316	protein_coding	0.0168234982	0	1.5152122458	-0.554421136	5.1309271054	0.06939	79.59426	0
LAT2	7	73624086	73644164	protein_coding	0.0025697512	0	-0.4790968128	-0.392181547	60.0908233074	0.4152	70.20994	5
TMEM230	20	5080483	5093733	protein_coding	0.0122194867	0	-0.3185541245	0.125863336	50.0117952347	0.1443	23.89693	0
ARHGEF17	11	73019662	73080425	protein_coding	0.9989783124	0	-0.8195550543	0.875660865	13.7473460722	0.1357	3511.2966	0
CNTNAP2	7	145813452	148118088	protein_coding	0.0014496599	5	1.4988006033	0.087930396	1.2974758198	0.05972	193.23796	0
COLCA1	11	111164113	111169978	protein_coding	0.0259406857	1	-0.1086055735	-0.017506499	50.0117952347	0.1443	40.69872	0
EPHA10	1	38225944	38230824	protein_coding	0.0475577315	13	0.3719716679	0.135641684	91.7551309271	0.07378	4746.47085	0
NF1	17	29421944	29549782	protein_coding	0.9999999746	0	-1.1450184973	1.563973737	0.471809389	0.02548	198.4465	0
DIS3	13	73329539	73356266	protein_coding	1.87624843970799E-10	2	0.5698047741	-0.058717315	52.3177636235	0.09584	2458.67493	0
NEBL	10	21068902	21186531	protein_coding	3.53241516995115E-19	0	-0.1481034048	0.897783867	81.7468742628	0.1394	2561.02103	1
CRBN	3	3191316	3221401	protein_coding	0.108269584	0	0.8341717633	-0.041299395	18.5892899269	0.05968	30.23873	0
SPEG	2	220325533	220331584	protein_coding	0.9998868286	0	-0.1543114123	1.134203165	48.9207360226	0.09266	8867.59165	0
PDHB	3	58413356	58419566	protein_coding	0.6702738685	1	1.1685000577	0.277799553	26.2326020288	0.09745	16.80356	0
SP7	12	53720359	53729537	protein_coding	0.619348272	1	-0.5708744779	1.817370716	12.2375560274	0.06941	36.52093	5
AAAS	12	53701239	53715412	protein_coding	5.82966704896718E-09	0	-0.3548654579	0.291369843	9.9610757254	0.1487	101.66522	0
F2RL2	5	75911306	75919238	protein_coding	5.54575964041135E-07	92	0.5222120803	-0.239614231	87.0606275065	0.2759	250.22329	0
MAP7	6	136663418	136788013	protein_coding	0.9933562888	0	0.0189108873	2.313168702	79.6237320123	0.3151	671.81801	0
LIMS1	2	109271267	109303702	protein_coding	0.6618646624	1	-0.3361765129	0.300252778	50.0117952347	0.0244	138.63474	0
DPYSL2	8	26435920	26515693	protein_coding	0.9921525979	5	0.7478212116	1.097173971	13.4465675867	0.0135	125.03577	0
DKKL1	19	49867041	49878373	protein_coding	0.000071424	0	1.3546477162	-0.514405204	96.1134701581	0.3023	6845.74883	3
PCDHGB4	5	140767451	140769863	protein_coding	0.001616388	50	-1.0464690658	1.914357644	10.5390422269	0.1443	377.4072	0
SDC1	2	20400557	20424927	protein_coding	0.250187209	0	-1.717413757	0.162002654	89.1424864355	0.4875	243.85141	1
LRIF1	1	111489811	111506566	protein_coding	0.0008686857	0	-0.3649738181	0.133449206	22.6468506723	0.1443	1294.73929	0
RPS6KA4	11	64126624	64139687	protein_coding	0.998895498	5	-0.1086055735	1.126906724	32.059447983	0.03122	250.28243	0
TRIM2	4	154178510	154197427	protein_coding	0.8070800191	2	0.1066699733	2.022882084	6.782259967	0.01161	17.93891	0
LFNG	7	2559478	2568063	protein_coding	0.3648461932	2	-0.7555225175	0.110728064	50.342061807	0.03047	24.41703	0
GYG2	X	2746862	2800861	protein_coding	7.97977189781626E-05	0	-0.4173154487	-1.062962535	67.3036093418	0.2404	468.74281	1
DMRTC1B	X	72064875	72068636	protein_coding	0.0475577315	1	-0.1086055735	-0.017506499	50.0117952347	1.183	198.58178	12
DNLZ	9	139256351	139258263	protein_coding	0.0081174536	0	-0.1086055735	-0.017506499	50.0117952347	0.2139	621.18542	0
GOLGA6C	15	75550898	75565796	protein_coding	0.0336263857	6	-0.1295498804	0.070653226	50.0117952347	0.4294	64.94994	9
RAPGEF6	5	130799307	130970929	protein_coding	0.9905703168	2	-0.7435387938	0.633152901	2.6952111347	0.1492	0.86508	0
GORAB	1	170501262	170514929	protein_coding	0.0001511783	0	0.0588041473	-0.387990256	23.4253361642	0.4497	48.46487	0
MMP1	11	102660640	102668966	protein_coding	1.0780616744207E-13	16	0.6449897645	-0.290062035	86.2703467799	0.2032	129.75686	3
DAG1	3	49507564	49573051	protein_coding	0.9179805695	0	-0.8387424239	2.798283604	19.0434064638	0.1072	208.10701	0
TSPAN3	15	77336359	77363570	protein_coding	0.2448292662	18	-1.1533942597	0.262404743	49.7581976881	0.02746	29.08327	0
C2orf71	2	29284555	29297127	protein_coding	1.17880345002713E-08	0	4.8870502974	-0.61824013	96.0191082803	0.4541	7852.61767	0
CIB4	2	26804072	26864211	protein_coding	0.000001369	2	0.8265771481	0.113477007	63.1988676575	0.07847	33.28019	3
ZSCAN5B	19	56701057	56704421	protein_coding	9.7003678500148E-14	11	0.431617464	-0.323588372	96.7327199811	0.5445	1456.87598	0
IKZF2	2	213864410	214015058	protein_coding	0.8826611101	4	0.1043763687	2.122300056	55.6086341118	0.08552	105.57661	0
PAICS	4	57302268	57327534	protein_coding	0.0500584186	0	-1.024023721	-0.195508097	91.2066525124	0.09677	355.28243	0
C12orf74	12	93096618	93102325	protein_coding	0.0004228539	0	0.7975107849	0.146952646	81.3812219863	1.327	164.76253	4
SYDE2	1	85623355	85666728	protein_coding	5.43403881129891E-12	0	1.0843654871	1.24147382	85.8280254777	0.363	2003.55658	0
PPP6R3	11	68228185	68382801	protein_coding	0.9995188436	2	0.4420377954	1.741163106	57.4074074074	0.09102	208.85481	0
CELF4	18	34823007	35146000	protein_coding	0.9559667715	4	1.3887967032	3.199658365	21.4142486435	0.0133	24.35294	0
PHKB	16	47495209	47735434	protein_coding	1.05857064060556E-08	0	-0.8406160697	0.335801099	74.740504836	0.08974	834.92029	0
BOLA2	16	29464913	29466285	protein_coding	0.0475577315	1	-0.7429310205	-0.669212297	50.0117952347	0.4365	198.58178	12
CSNK1G3	5	122881110	122952738	protein_coding	0.9932915443	5	-0.6119012725	2.041362739	31.457891012	0.03215	9.29304	1
MS4A3	11	59824100	59838588	protein_coding	0.0016533251	4	-0.5757061251	-0.147422578	43.2944090587	0.7713	19.46533	5
NR1I3	1	161199455	161208000	protein_coding	0.0002227273	21	-0.2916110171	0.222201495	16.4425572069	0.2144	37.30618	0
LLGL2	17	73521782	73560804	protein_coding	1.57650579520221E-06	1	-0.1086055735	0.718016416	91.3128096249	0.05226	9919.23727	0
LIMK2	22	31644347	31673624	protein_coding	0.004279281	1	-0.1578816045	1.232433368	62.1431941496	0.1587	767.32501	0
MYH14	19	50706884	50813801	protein_coding	0.9999620215	13	-0.0830752198	-0.015925848	1.3092710545	0.03215	1826.33006	5
NKAIN2	6	124604150	125146786	protein_coding	0.1444598606	3	-0.9751110566	2.752418064	41.2479358339	0.03681	15.60658	0
ATAD3C	1	1385068	1405538	protein_coding	0.0051218918	2	0.4385093024	-0.0237023585	99.1448454824	0.1591	3860.31144	10
CLDND1	3	98234316	98241910	protein_coding	0.5170411496	0	-0.5982185355	1.172173228	25.3656522765	0.06584	13.87586	0
ALG13	X	110924884	110933623	protein_coding	0.9942197542	0	-0.4953859694	1.01173948	8.3687190375	0.1956	48.1604	0
TTPAL	20	43104525	43123244	protein_coding	0.8719183441	3	-0.407965291	0.007472085	71.2668082095	0.07132	271.7154	0
AGTRAP	1	11796141	11810828	protein_coding	0.0475577315	0	0.4545110058	-0.732465594	45.1285680585	0.2222	12.51479	3
PAQR3	4	79839093	79860582	protein_coding	0.0142452181	4	2.0854359725	0.667543598	30.3727294173	0.07495	25.76026	0
ZNF765	19	53898396	53915262	protein_coding	0.000000499	205	1.7843316043	-0.393279788	86.2703467799	0.5469	339.26241	0
PSCA	8	143761873	143764145	protein_coding	0.0527219474	0	1.448535139	-0.664343648	50.0117952347	0.2229	117.96949	6
ARID1A	1	27022521	27108601	protein_coding	0.9999999965	1	-0.1086055735	3.715605127	0.7430997877	0.07878	409.71816	0
EPM2A	6	145946439	146056991	protein_coding	2.50947647012184E-05	0	0.5161238217	-0.734213992	50.0117952347	0.08504	120.1533	0
ST8SIA4	5	100221014	100238989	protein_coding	0.6009353408	6	-0.1590189786	1.228396938	30.0660533145	0.01915	21.20035	0
RNF103	2	86843539	86851000	protein_coding	0.7464941486	0	-0.1086055735	0.924663369	42.2269403161	0.1143	204.06871	0
PSMA8	18	23713815	23773319	protein_coding	0.0027261602	8	-0.3505889783	-0.4488347	43.2944090587	0.124	38.9722	3
NELFA	4	1984440	2010962	protein_coding	0.4106010397	0	-1.0968441901	-0.260923177	6.8294409059	0.1443	94.08279	0
VDAC3	8	42249278	42263455	protein_coding	0.9614400366	2	-0.1086055735	0.589130882	67.9169615475	0.06493	24.24821	1
UFD1L	22	19437463	19466738	protein_coding	0.9958074246	0	-0.1105433008	-0.330138738	58.262561925	0.04046	204.07455	0
SLC35A2	X	48760888	48769235	protein_coding	0.7572959677	3	-0.1086055735	-0.017506499	50.0117952347	0.08632	29.23115	0
PIGU	20	33148345	33265089	protein_coding	0.7469093225	0	-0.4371004442	0.669184333	26.7338995046	0.08511	75.12131	0
TRIM6	11	5617864	5634188	protein_coding	6.13532826794979E-08	0	0.8209429072	-0.630661324	80.2960603916	0.3848	691.94247	0
MOGAT1	2	223536456	223574649	protein_coding	0.000620799	7	0.1170308789	-0.925549161	87.1372965322	0.3771	2012.08574	1
OLFM2	19	9964393	9968844	protein_coding	0.9542927095	5	-0.1086055735	-0.222476889	53.7272941732	0.009844	3718.37392	4
TBX1	22	19744225	19754855	protein_coding	0.9770828905	1	-0.642757245	0.294608881	50.0117952347	0.02652	1845.84011	0
CCDC169	13	36804911	36871992	protein_coding	0.0475577315	0	0.0520157088	-1.023812045	88.9596602972	0.1443	521.70663	0
ZNF619	3	40518632	40530069	protein_coding	0.0005353991	165	0.2577450668	-0.095217208	28.1080443501	0.4888	636.89204	4
CALCR	7	93053798	93189122	protein_coding	9.28900618700865E-05	12	-0.9334443265	1.40061368	60.5685303138	0.2667	61.05178	5
COG6	13	40229763	40326765	protein_coding	1.40004305236126E-09	0	0.1026005779	-0.666628621	83.5338523237	0.1207	8807.1494	0
MTHFD2L	4	75023828	75168814	protein_coding	0.0001775774	1	-0.202063165	0.076093965	28.9337107808	0.08975	35.86805	1
ZNF805	19	57752052	57774106	protein_coding	0.7269045434	214	-0.1687996584	-1.359067984	93.13517339	0.09719	1960.60485	5
EML4	2	42396477	42559688	protein_coding	0.8260628053	0	-0.8229929787	1.740823521	4.6296296296	0.1648	2437.31101	0
GNGT2	17	47283595	47286743	protein_coding	0.1682939527	2	0.2815040825	-0.6487917	79.7888652984	0.09937	165.03072	0
CRYZ	1	75171171	75199092	protein_coding	4.24519409000011E-15	5	0.9823324626	-0.372072421	78.5857513565	0.1746	3335.56723	0
CASP8	2	202125222	202152434	protein_coding	0.015104655	2	0.8840603401	-0.445478172	57.3130455296	0.3811	95.54434	0
CRYM	16	21269838	21314457	protein_coding	0.0208337449	0	-0.3233290309	-0.066668096	58.5279547063	0.1656	100.52724	0
CRYBA4	22	27017927	27026636	protein_coding	2.36672222922245E-06	11	-0.363476711	-0.0706513	68.1292757726	0.05503	150.50912	0
CRYAB	11	111779343	111782750	protein_coding	0.0475577315	6	-0.1086055735	2.81340959	35.4210898797	0.1254	19.62169	0
CPS1	2	211458078	211543832	protein_coding	0.0809076071	1	0.9292142165	0.221284132	16.8141071007	0.09236	6992.13025	0
CAMK2G	10	75572258	75634349	protein_coding	0.9875799267	3	-0.7086442027	2.721246609	19.3087992451	0.03918	14.92715	1
CAMK2D	4	114378343	114683083	protein_coding	0.1796683893	4	0.0116127894	2.444296471	55.2193913659	0.006453	134.90959	0
CAMK2B	7	44256748	44365230	protein_coding	0.9825238859	2	-1.2808789446	0.737276593	17.1620665251	0.04389	1301.92267	0
CALU	7	128379345	128413477	protein_coding	0.3855224126	4	-0.1578758508	1.353430846	63.0042462845	0.1375	1766.02314	0
CA12	15	63615729	63674309	protein_coding	4.15909490144795E-09	13	0.8456039268	-0.341236293	17.3095069592	0.1812	40.85482	0
LRRC10B	11	61276271	61278490	protein_coding	0.0475577315	4	0.2119582442	0.516084011	50.0117952347	0.04091	24.34086	0
RSRC2	12	122989189	123011560	protein_coding	0.9862621879	0	0.0151201238	2.930105047	31.457891012	0.02758	11.17377	0
NDUFA11	19	5894680	5904024	protein_coding	0.5319618924	0	2.0650083598	-0.513708364	50.0117952347	0.5389	709.05965	3
SRGN	10	70847827	70864567	protein_coding	0.1241638444	0	-0.1094902661	0.919601301	85.4210898797	0.4313	74.41022	3
CAPRIN2	12	30862485	30907448	protein_coding	0.0040206503	0	-0.2283025791	0.135305231	20.9129511677	0.2201	497.73137	0
GPR78	4	8582216	8591750	protein_coding	8.73035789827525E-05	12	1.732307576	-0.744430566	55.7560745459	0.1697	647.17018	0
WBSCR22	7	73097897	73112551	protein_coding	0.3877801258	0	-0.1086055735	-0.81310444	19.3087992451	0.19	25.82653	0
PARP2	14	20811772	20826063	protein_coding	9.26705167800855E-08	1	1.1855142334	-1.101348421	48.6907289455	0.2333	419.3216	0
FUT3	19	5842898	5851485	protein_coding	0.3220313649	4	-0.7905142923	-0.411548577	98.7673979712	0.1519	3247.52981	6
